ProjectCode,Status,ContractAmount,Currency,ExchangeRate,CostingAmount,problemas,propuesta,decision_final,decidido_por,fecha_decision,criterio_decision
hn_pnud_cultura_legal_2024,Completed,10000.0,USD,3650,34277083.0,Costing difiere -6% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3427.71,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
hon_pnud,Active,1000.0,COP,1,10.0,Costing difiere -99% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.01,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
hon_pnud_red_pública_v1_2022,Completed,58500.0,USD,3600,250028170.0,Costing difiere +19% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4273.99,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_acnur_sipro_v1_2024,Completed,34722.0,USD,3900,109361111.0,Costing difiere -19% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3149.62,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_2024,Completed,1056.0,USD,3650,3345833.0,Costing difiere -13% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3168.40,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_evento_seguro_2024,Completed,703.0,USD,3650,2252278.0,Costing difiere -12% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3203.81,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_fichas_v2_2024,Completed,1955.0,USD,3650,2831250.0,Costing difiere -60% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 1448.21,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_flyer_reto_2024,Completed,878.27,USD,3650,645769.0,Costing difiere -80% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 735.27,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_iguales_2024,Completed,499.0,USD,3900,1881678.0,Costing difiere -3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3770.90,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_seguros_2024,Completed,350.0,USD,3650,1210000.0,Costing difiere -5% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3457.14,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_lta_tarjetas_2024,Completed,1336.0,USD,3650,2410417.0,Costing difiere -51% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 1804.20,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_pnud_videos_tmx_local_2023,Completed,6000.0,USD,3800,23076923.0,Costing difiere +1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3846.15,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
mx_unicef_salud_mens_v1_2024,Completed,23956.0,USD,3700,82368181.0,Costing difiere -7% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3438.31,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
nl_wwf_coursesweb_2026,Active,24800.0,EUR,4000,101389789.0,Costing difiere +2% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4088.30,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
Operaciones,Active,1.0,,1,6000000.0,moneda nula · Costing difiere +599999900% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 6000000.00,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_fao_lta_pb_sica_2024,Completed,490.0,USD,3900,1890833.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3858.84,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_fao_lta_tipologias_2024,Completed,500.0,USD,3900,1915000.0,Costing difiere -2% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3830.00,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_comunicacion_v1_2024,Completed,39640.0,USD,3700,92121429.0,Costing difiere -37% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 2323.95,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_democracia_desigual_2025,Completed,4490.0,USD,3900,19433731.0,Costing difiere +11% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4328.23,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_rblac_video_shorts_2024,Completed,3000.0,USD,3900,9784722.0,Costing difiere -16% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3261.57,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_salient_v1_2025,Completed,35000.0,USD,3900,141694925.0,Costing difiere +4% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4048.43,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_sis_jovenes_2023,Completed,14050.0,USD,3700,50711116.0,Costing difiere -2% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3609.33,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_rblac_retiro_regional_2025,Completed,13000.0,USD,4100,52653529.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4050.27,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_unicef_informe_anual_2026,Active,4600.0,USD,3600,17704451.0,Costing difiere +7% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3848.79,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_unicef_recaudacion_2026,Active,3000.0,USD,3500,10391822.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3463.94,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
us_p4c_reports_2024,Completed,2600.0,USD,3900,5041389.0,Costing difiere -50% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 1939.00,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
us_wwf_elearning_nature_v1_2025,Completed,9520.0,USD,3900,36088763.0,Costing difiere -3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3790.84,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
us_wwf_oecm_v2_2024,Completed,17100.0,USD,3700,14295151.0,Costing difiere -77% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 835.97,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_anima_sheroes_2024,Completed,34597.0,USD,3700,108647058.82,Costing difiere -15% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3140.36,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_certifica2_2024,Completed,66.0,USD,3900,264000.0,Costing difiere +3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4000.00,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_eduacelerada_v2_2024,Completed,31900.0,USD,3900,73486500.0,Costing difiere -41% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 2303.65,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_escuelas_amigas_v1_2024,Cancelled,15000.0,USD,3800,56304545.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3753.64,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_lta_afiches_2025,Completed,566.0,USD,3900,2138731.0,Costing difiere -3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3778.68,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_lta_diagrama_2026,Active,3000.0,USD,3500,10358425.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3452.81,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_lta_locuvideo_2025,Completed,254.0,USD,3900,968479.0,Costing difiere -2% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3812.91,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_lta_rotafolio_2025,Active,2496.0,USD,3600,8888339.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3561.03,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_lta_sbc_2026,Active,654.0,USD,3500,2235363.0,Costing difiere -2% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3417.99,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_po_general_2024,Completed,1934.0,USD,3700,4462121.0,Costing difiere -38% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 2307.20,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_atenea_2026,Active,2500.0,USD,3500,8876855.0,Costing difiere +1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3550.74,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
pa_pnud_informe_mujer19_2026,Active,0.0,,0,0.0,moneda nula · TRM = 0,confirmar versión vigente (¿adenda?) y registrar TRM pactada,Currency := COP; montos en 0 se conservan,Claude Code (delegación de dirección 2026-08-29),2026-08-29,proyecto sin costeo cargado (pausado/cancelado); COP como neutro
be_pnud_atlas_2026,Active,0.0,USD,0,0.0,TRM = 0,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM),Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ven_unicef_vacunacion_2026,Active,28900.0,USD,0,0.0,TRM = 0,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM),Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cr_unicef_migracion_2026,Active,0.0,,0,0.0,moneda nula · TRM = 0,confirmar versión vigente (¿adenda?) y registrar TRM pactada,Currency := COP; montos en 0 se conservan,Claude Code (delegación de dirección 2026-08-29),2026-08-29,proyecto sin costeo cargado (pausado/cancelado); COP como neutro
